id,date,avis,note
124,2026-07-25,Nouvelle interface de l'appli claire et agréable à utiliser.,5
125,2026-07-26,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",1
126,2026-08-18,"Impossible de joindre le service client, j'attends depuis deux jours.",1
127,2026-06-18,L'appli ne plante plus depuis la dernière mise à jour.,5
128,2026-06-17,Bon rapport qualité-prix pour le Illimité 50 Go à 5 000 F.,4
129,2026-04-11,"J'ai eu un conseiller pour mon Pass Journalier, réponse correcte.",3
130,2026-05-29,Le Illimité 20 Go à 3 500 F est dans la moyenne du marché.,3
131,2026-04-11,"Le conseiller m'a répondu en moins de 5 minutes pour mon souci de Illimité 50 Go, très efficace.",4
132,2026-08-28,Mise à jour de l'appli qui a supprimé mon historique de recharge.,2
133,2026-06-25,On m'a facturé deux fois le Pass Journalier ce mois-ci.,2
134,2026-07-12,Le Forfait Week-end à 1 500 F est dans la moyenne du marché.,3
135,2026-06-04,"Support injoignable, j'ai envoyé trois messages sans retour depuis cinq heures.",2
136,2026-07-15,L'appli demande de se reconnecter toutes les cinq minutes à Sacré-Cœur.,1
137,2026-05-23,"Impossible de joindre le service client, j'attends depuis deux jours.",1
138,2026-06-01,Bon rapport qualité-prix pour le Illimité 20 Go à 10 000 F.,4
139,2026-05-28,"Le réseau fonctionne à Liberté 6, sans plus.",3
140,2026-06-14,Bon rapport qualité-prix pour le Forfait Week-end à 5 000 F.,5
141,2026-08-20,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",2
142,2026-07-16,"Support injoignable, j'ai envoyé trois messages sans retour depuis une semaine.",2
143,2026-08-29,Le débit s'est nettement amélioré à Liberté 6 ces derniers jours.,5
144,2026-06-28,"Support injoignable, j'ai envoyé trois messages sans retour depuis une semaine.",1
145,2026-06-01,L'application mobile est devenue beaucoup plus rapide depuis la mise à jour.,5
146,2026-07-08,Facture du Illimité 20 Go reçue à temps ce mois.,3
147,2026-06-24,"L'application fait le nécessaire, rien d'exceptionnel.",3
148,2026-05-07,Coupures répétées pendant les appels importants à Parcelles Assainies.,2
149,2026-07-11,L'appli ne plante plus depuis la dernière mise à jour.,5
150,2026-08-17,On m'a facturé deux fois le Pass Journalier ce mois-ci.,2
151,2026-04-26,"Facture détaillée et compréhensible ce mois, merci.",4
152,2026-04-12,"Toujours aucun réseau à Mermoz depuis 24 heures, c'est inadmissible.",1
153,2026-06-02,"Recharge instantanée à Ngor, aucun souci depuis trois jours.",4
154,2026-07-07,L'application mobile est devenue beaucoup plus rapide depuis la mise à jour.,5
155,2026-06-05,Le débit s'est nettement amélioré à Ouakam ces derniers jours.,4
156,2026-04-19,Aucune couverture réseau à Pikine depuis la panne d'hier.,2
157,2026-06-17,On me prélève 2 000 F que je n'ai jamais demandés.,2
158,2026-08-26,Ma réclamation de facturation de 5 000 F reste sans réponse depuis une semaine.,1
159,2026-08-23,"Le réseau fonctionne à Pikine, sans plus.",3
160,2026-06-30,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",1
161,2026-06-19,"Le réseau est enfin stable à Pikine, bravo.",5
162,2026-06-23,"Le conseiller m'a répondu en moins de 5 minutes pour mon souci de Forfait Soir, très efficace.",5
163,2026-05-13,Mise à jour de l'appli qui a supprimé mon historique de recharge.,2
164,2026-04-20,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",1
165,2026-07-11,L'appli demande de se reconnecter toutes les cinq minutes à Rufisque.,2
166,2026-07-05,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",2
167,2026-05-27,Le débit s'est nettement amélioré à Liberté 6 ces derniers jours.,4
168,2026-04-12,"J'ai eu un conseiller pour mon Illimité 20 Go, réponse correcte.",3
169,2026-08-16,"Conseiller désagréable au téléphone, aucune solution proposée pour mon Illimité 50 Go.",1
170,2026-07-16,L'appli ne plante plus depuis la dernière mise à jour.,4
171,2026-07-04,"Conseiller désagréable au téléphone, aucune solution proposée pour mon Pass Journalier.",2
172,2026-04-16,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",1
173,2026-04-13,L'application mobile est devenue beaucoup plus rapide depuis la mise à jour.,4
174,2026-08-29,Mise à jour de l'appli qui a supprimé mon historique de recharge.,1
175,2026-06-10,Facture du Illimité 50 Go reçue à temps ce mois.,3
176,2026-04-29,"Le réseau est enfin stable à Parcelles Assainies, bravo.",5
177,2026-04-05,"Toujours aucun réseau à Parcelles Assainies depuis deux jours, c'est inadmissible.",1
178,2026-07-31,Aucune couverture réseau à Guédiawaye depuis la panne d'hier.,1
179,2026-04-12,Offre promotionnelle intéressante sur le Illimité 50 Go ce trimestre.,4
180,2026-04-16,"L'application fait le nécessaire, rien d'exceptionnel.",3
181,2026-04-19,"J'ai eu un conseiller pour mon Forfait Soir, réponse correcte.",3
182,2026-06-10,"Recharge instantanée à Guédiawaye, aucun souci depuis cinq heures.",5
183,2026-07-26,"Service client courtois, mon problème de facturation a été réglé du premier coup.",5
184,2026-07-25,"L'application fait le nécessaire, rien d'exceptionnel.",3
185,2026-04-25,Aucune couverture réseau à Ngor depuis la panne d'hier.,2
186,2026-04-18,On m'a facturé deux fois le Forfait Week-end ce mois-ci.,1
187,2026-08-21,L'appli demande de se reconnecter toutes les cinq minutes à Guédiawaye.,2
188,2026-07-18,"Le réseau fonctionne à Mermoz, sans plus.",3
189,2026-04-27,L'application mobile est devenue beaucoup plus rapide depuis la mise à jour.,5
190,2026-08-21,"Support injoignable, j'ai envoyé trois messages sans retour depuis 24 heures.",1
191,2026-06-08,Le prix du Pass Journalier a encore augmenté sans aucune explication.,1
192,2026-05-17,Le Forfait Week-end à 1 500 F est dans la moyenne du marché.,3
193,2026-04-08,L'appli demande de se reconnecter toutes les cinq minutes à Yoff.,2
194,2026-05-11,Ma réclamation de facturation de 10 000 F reste sans réponse depuis deux jours.,1
195,2026-05-10,Le Illimité 20 Go est trop cher pour un débit aussi faible.,2
196,2026-08-03,"Service client courtois, mon problème de facturation a été réglé du premier coup.",5
197,2026-07-20,Coupures répétées pendant les appels importants à Ngor.,2
198,2026-04-12,Le Illimité 20 Go est trop cher pour un débit aussi faible.,1
199,2026-05-06,Bon rapport qualité-prix pour le Illimité 20 Go à 1 500 F.,5
200,2026-05-15,L'appli demande de se reconnecter toutes les cinq minutes à Almadies.,2
